,movie,year,imdb,metascore,votes,n_imdb
1629,Ocean's Eight,2018,6.2,61,127085,62.0
1630,Fantastic Beasts: The Crimes of Grindelwald,2018,6.8,52,119036,68.0
1631,BlacKkKlansman,2018,7.5,83,106260,75.0
1632,Rampage,2018,6.1,45,106122,61.0
1633,The Meg,2018,5.7,46,97501,57.0
1634,Isle of Dogs,2018,7.9,82,96472,79.0
1635,Spider-Man: Into the Spider-Verse,2018,8.7,87,95446,87.0
1636,First Man,2018,7.4,84,95153,74.0
1637,Upgrade,2018,7.6,67,90300,76.0
1638,Maze Runner: The Death Cure,2018,6.2,50,85267,62.0
1639,Pacific Rim: Uprising,2018,5.6,44,83630,56.0
1640,Sicario: Day of the Soldado,2018,7.1,61,83411,71.0
1641,The Equalizer 2,2018,6.8,50,83359,68.0
1642,The Predator,2018,5.4,48,83200,54.0
1643,Searching,2018,7.7,71,79619,77.0
1644,The Cloverfield Paradox,2018,5.6,37,79035,56.0
1645,The Nun,2018,5.4,46,78473,54.0
1646,Crazy Rich Asians,2018,7.0,74,78465,70.0
1647,The Commuter,2018,6.3,56,77052,63.0
1648,Halloween,2018,6.7,67,75568,67.0
1649,"Love, Simon",2018,7.7,72,75044,77.0
1650,Roma,2018,7.9,96,74904,79.0
1651,Tag,2018,6.6,56,71625,66.0
1652,The Ballad of Buster Scruggs,2018,7.3,79,70636,73.0
1653,Skyscraper,2018,5.9,51,70185,59.0
1654,A Simple Favor,2018,6.9,67,68333,69.0
1655,Bad Times at the El Royale,2018,7.2,60,66053,72.0
